Año,Mes,Día,Precio Bolsa Nacional,CEE,CERE,Precio Escasez,Precio Escasez Activación
2000,6,27,36.7198,23.3070,24.3184,,
2000,6,28,39.8969,23.3070,24.3184,,
2000,6,29,34.3590,23.3070,24.3184,,
2000,6,30,42.5863,23.3070,24.3184,,
2000,7,1,38.8342,23.0580,24.3547,,
2000,7,2,36.7702,23.0580,24.3547,,
2000,7,3,38.4104,23.0580,24.3547,,
2000,7,4,40.0429,23.0580,24.3547,,
2000,7,5,41.3467,23.0580,24.3547,,
2000,7,6,39.7967,23.0580,24.3547,,
2000,7,7,38.6092,23.0580,24.3547,,
2000,7,8,47.1898,23.0580,24.3547,,
2000,7,9,41.1814,23.0580,24.3547,,
2000,7,10,46.3800,23.0580,24.3547,,
2000,7,11,47.6508,23.0580,24.3547,,
2000,7,12,46.3383,23.0580,24.3547,,
2000,7,13,53.1300,23.0580,24.3547,,
2000,7,14,50.5675,23.0580,24.3547,,
2000,7,15,42.4863,23.0580,24.3547,,
2000,7,16,44.9105,23.0580,24.3547,,
2000,7,17,50.2967,23.0580,24.3547,,
2000,7,18,49.6925,23.0580,24.3547,,
2000,7,19,45.1717,23.0580,24.3547,,
2000,7,20,42.1536,23.0580,24.3547,,
2000,7,21,43.3033,23.0580,24.3547,,
2000,7,22,41.1296,23.0580,24.3547,,
2000,7,23,36.6441,23.0580,24.3547,,
2000,7,24,42.5761,23.0580,24.3547,,
2000,7,25,47.4906,23.0580,24.3547,,
2000,7,26,31.2521,23.0580,24.3547,,
2000,7,27,41.1487,23.0580,24.3547,,
2000,7,28,37.7656,23.0580,24.3547,,
2000,7,29,49.6822,23.0580,24.3547,,
2000,7,30,34.7238,23.0580,24.3547,,
2000,7,31,40.1599,23.0580,24.3547,,
2000,8,1,39.0354,22.9640,24.4496,,
2000,8,2,47.7741,22.9640,24.4496,,
2000,8,3,45.0647,22.9640,24.4496,,
2000,8,4,44.6689,22.9640,24.4496,,
2000,8,5,41.6299,22.9640,24.4496,,
2000,8,6,37.9230,22.9640,24.4496,,
2000,8,7,38.6834,22.9640,24.4496,,
2000,8,8,31.2980,22.9640,24.4496,,
2000,8,9,48.2771,22.9640,24.4496,,
2000,8,10,48.3397,22.9640,24.4496,,
2000,8,11,43.4106,22.9640,24.4496,,
2000,8,12,50.0272,22.9640,24.4496,,
2000,8,13,38.9897,22.9640,24.4496,,
2000,8,14,48.9063,22.9640,24.4496,,
2000,8,15,65.6105,22.9640,24.4496,,
2000,8,16,56.7771,22.9640,24.4496,,
2000,8,17,56.9855,22.9640,24.4496,,
